location,year one,year two,year three,year four,year five,total
anarchy-beach,0,0,1,0,0,1
arabie,3,1,1,0,0,5
baby-plage-geneva,0,0,0,0,5,5
bain-des-dames,1,1,1,0,1,4
baye-de-clarens,13,0,0,0,0,13
baye-de-montreux-d,15,1,0,0,0,16
baye-de-montreux-g,11,1,0,0,6,18
boiron,1,0,0,0,0,1
cully-plage,0,0,0,0,1,1
grand-clos,1,1,0,0,6,8
jardin-botanique,3,0,0,0,0,3
la-morges,0,1,0,0,0,1
la-pecherie,0,0,0,0,2,2
lac-leman-hammerdirt,0,1,0,0,0,1
lacleman_gland_kubela,0,6,5,0,0,11
lacleman_gland_lecoanets,0,4,5,0,2,11
lacleman_vidy_santie,0,7,5,0,0,12
le-pierrier,3,1,0,0,0,4
le-port,1,0,0,0,0,1
maladaire,2,0,0,0,6,8
oyonne,1,1,0,0,0,2
parc-des-pierrettes,1,1,0,1,1,4
pierrier-sud,1,0,0,0,0,1
plage-de-dorigny,0,1,0,0,0,1
plage-de-st-sulpice,1,1,0,0,1,3
preverenges,0,0,2,0,5,7
quai-maria-belgia,0,7,3,0,7,17
rolle-plage,0,0,0,1,0,1
saint-sulpice,0,0,0,1,0,1
tiger-duck-beach,0,0,1,0,2,3
tolochenaz,0,0,0,0,1,1
versoix,0,1,0,0,3,4
veveyse,13,4,0,0,0,17
vidy,1,0,0,0,0,1
vidy-ruines,0,0,0,0,4,4
villa-barton,9,0,0,0,1,10
total,81,41,24,3,54,203
